Frequencies,Phase shift,Amplitudes
0.17065328,0.10370119,0.00036908698
-0.0002576611,0.01881012,-0.0069815377
0.3719964,0.13599396,-0.0072330483
0.19100471,0.06888679,0.012985529
-0.10176648,0.027374338,0.015961556
0.004891547,-0.19987781,0.010020607
-0.07994919,0.10901813,0.004409154
-0.20684396,0.028997622,-0.0030259744
0.14723758,0.05503095,-0.0061067324
0.034164388,-0.0011525889,0.008461676
-0.21195607,0.08475474,-0.0011482866
-0.24067535,-0.027470436,0.00075687096
-0.010967818,-0.05566511,0.0006061936
0.20102806,0.023700869,-0.0033027164
0.22286165,0.009477503,0.008930499
-0.089433916,-0.0674307,-0.0047375895
0.22760646,0.09554151,-0.007138282
0.14845118,0.068014756,0.0075352318
-0.28330508,-0.0822021,0.0046071527
-0.19084796,-0.053753283,-0.0028703632
0.098024964,0.046074748,-0.006958787
0.20050661,0.022388995,0.016076803
0.10750887,-0.033916738,0.0027742828
-0.22010419,0.0660528,0.0042629126
-0.029995987,0.007308371,-0.0065887985
-0.03328981,0.07146824,0.0050404402
0.2392772,-0.02626677,0.003362028
-0.30645198,-0.00013506688,0.007551121
0.030988168,0.011627624,-0.00520358
-0.018296631,-0.027970755,-0.0008893819
0.24827302,0.054885294,-0.001196811
0.15391631,-0.00638025,-0.0003732412
0.13840404,0.041040845,-0.00292806
-0.11014123,-0.053287193,0.0022066692
-0.24258262,0.008972097,-0.008691589
0.25060394,-0.028606003,-0.00029891767
0.13004129,0.03285106,-0.0005972372
0.15369754,0.10280153,-0.00075700786
0.22506182,-0.021308409,-0.0035738158
-0.42091575,-0.11082812,0.0014880135
-0.15080975,-0.10250638,-0.002236569
0.123324126,-0.06647419,0.0024627112
-0.24693114,-0.012934852,0.004400542
-0.05063871,-0.048933905,-0.00052534306
0.14828809,-0.06367601,-0.0026155408
0.095326066,0.042189565,0.0002286632
0.34623778,0.051152125,-0.00014146083
-0.19984706,0.0820026,0.012798426
-0.14818417,0.037330844,0.000630419
-0.1983047,-0.07315065,-0.0021585883
-0.35102135,-0.028171137,0.0008536727
0.28177503,-0.021484803,0.0035610066
-0.120493,-0.09392543,0.0015104149
-0.31924233,-0.05241975,0.00041967377
0.023749355,0.0099934535,0.007838583
-0.11054004,-0.03854124,0.0014304561
-0.23251246,0.072292626,0.0041591483
0.07659041,0.07713683,0.0009786808
0.12213504,0.041023772,-0.0016920728
-0.22270481,0.020664442,-0.00035753052
0.22412144,0.038686726,-0.0056982366
0.001371454,-0.011214561,0.0035297822
-0.010729556,-0.115676105,0.00030622445
0.03738651,-0.07563434,0.00018885909
